Avg_Screenwriter_Per_Screenwriter,Avg_Producer_Per_Producer,Avg_Director_Per_Director,budget,movies,starpower,Average_Billing,Movies_Producer_Per_Producer,Running_Time,Movies_Screenwriter_Per_Screenwriter,Sentiment_Score_imdb,Num_Executive,Movies_Director_Per_Director,Value,Genre_y_Action,Genre_y_Adventure,Genre_y_Comedy,Genre_y_Drama,Genre_y_Horror,Genre_y_Other,starpower,Genre_y_Thriller/Suspense,Num_Screenwriter,cluster,Year_x
100280279.5,88759404.66666667,39985916.0,20000000,8,448,0.3194444444444444,41.33333333333334,111.0,3.75,0.9985924363136292,11,17.0,95.61739,0,0,0,0,1,0,448,0,4,0,2022
207449869.6666667,175609427.25,128900618.0,200000000,7,567,0.46,16.75,124.0,3.333333333333333,0.9577779173851012,9,11.0,95.61739,1,0,0,0,0,0,567,0,3,1,2022
539197894.5,691747390.5,595413151.0,250000000,12,1058,4.461538461538462,20.0,161.0,4.5,0.9884223341941832,3,4.0,95.763,1,0,0,0,0,0,1058,0,2,2,2022
64481241.5,41741384.4,44609324.0,35000000,6,233,2.055555555555555,5.6,114.0,6.5,0.9947210550308228,0,7.5,95.763,0,1,0,0,0,0,233,0,4,0,2022
73040804.0,66455627.0,51602295.0,30000000,7,310,0.4846153846153846,19.0,107.0,1.0,0.8833938241004944,3,2.0,95.763,0,0,0,0,0,1,310,0,2,0,2022
92838646.0,202492125.0,220771476.0,135000000,0,0,0.0,7.0,102.0,2.0,0.9946495890617372,0,4.0,95.763,0,1,0,0,0,0,0,0,1,0,2022
261519206.0,53816133.0,35525918.0,20000000,2,133,0.3571428571428572,8.0,112.0,3.0,0.9056644439697266,1,9.0,95.763,0,0,1,0,0,0,133,0,2,0,2022
248507070.5,422903994.0,232485480.0,90000000,8,537,1.4,6.0,102.0,4.0,0.5654424428939819,1,3.0,96.08395,0,1,0,0,0,0,537,0,2,1,2022
677359235.0,841112278.0,621641548.0,460000000,4,238,0.0983606557377049,10.5,190.0,9.333333333333334,0.9974191188812256,2,14.0,96.08395,1,0,0,0,0,0,238,0,3,2,2022
84306801.0,48401293.33333334,129080804.0,110000000,11,488,0.9074074074074074,16.33333333333333,188.0,8.0,0.6764619946479797,7,5.0,96.08395,0,0,0,1,0,0,488,0,1,0,2022
109763067.0,122194867.0,132716487.0,50000000,2,68,0.0714285714285714,11.0,126.0,11.0,0.9998125433921814,11,13.0,96.08395,0,0,1,0,0,0,68,0,1,0,2022
1029483.0,1029483.0,1029483.0,1606057,0,0,0.0,1.0,109.4714903657098,1.0,0.9998146891593932,0,1.0,96.08395,0,0,1,0,0,0,0,0,2,0,2022
23855847.0,40426938.2,23891587.0,23000000,3,122,0.0548387096774193,6.2,107.0,1.0,0.9441773891448976,5,3.0,100.3234,1,0,0,0,0,0,122,0,3,0,2021
20503824.0,11458558.75,5844656.0,10000000,0,0,0.0,7.75,124.0,5.0,0.9998325109481812,4,3.0,100.3234,0,0,0,1,0,0,0,0,1,0,2021
382392832.0,0.0,315986291.0,117000000,6,496,1.181818181818182,0.0,136.0,2.0,0.9991104006767272,0,6.0,100.3234,1,0,0,0,0,0,496,0,1,2,2021
113243212.0,18732387.0,72401201.0,30000000,2,167,0.2244897959183673,1.0,127.0,7.0,0.9161460399627686,2,8.0,100.3234,0,0,0,0,0,0,167,1,1,0,2021
194891.0,0.0,132017.0,17000000,1,63,1.25,0.0,128.0,2.0,0.7041918039321899,0,3.0,100.3234,1,0,0,0,0,0,63,0,1,0,2021
111203407.0,14179969.8,111203407.0,5000000,3,59,1.1,4.6,108.0,4.0,0.9480664134025574,0,4.0,100.3234,0,0,0,1,0,0,59,0,1,0,2021
88327954.5,114697204.75,116494601.0,100000000,7,564,0.4857142857142857,7.75,108.0,4.5,0.9933550357818604,5,13.0,100.5434,1,0,0,0,0,0,564,0,2,0,2021
5290462.0,25662422.0,3526975.0,26000000,4,202,0.1770833333333333,5.666666666666667,126.0,1.5,0.9923813939094543,11,2.0,100.5434,0,0,0,1,0,0,202,0,2,0,2021
66517642.0,132370100.0,82768885.0,50000000,6,383,0.3222222222222222,1.0,100.0,2.0,0.9813219308853148,6,17.0,100.5434,0,1,0,0,0,0,383,0,1,1,2021
25828979.0,5216737.5,867431.0,6400000,1,42,0.1428571428571428,5.0,115.0,7.0,0.9376029372215272,0,2.0,100.5434,0,0,1,0,0,0,42,0,1,0,2021
